id,customer_id,account_id,writer_id,submitted_posts,purchased_posts,declined_posts,access
3005,6484,16526,7101,2,2,0,preferred
3007,13799,25124,4068,0,0,0,preferred
3007,13874,25124,4068,1,1,0,preferred
3008,13865,13313,19320,5,3,2,preferred
3010,13868,25517,10710,0,0,0,preferred
3016,13848,25502,41394,2,2,0,preferred
3020,13011,24793,26031,3,3,0,preferred
3025,13929,25550,6219,1,1,0,preferred
3026,13929,25550,328,0,0,0,preferred
3027,13929,25550,15799,0,0,0,preferred
3028,6484,16526,3407,1,1,0,preferred
3031,10151,22589,9746,13,13,0,preferred
3032,10151,22589,11603,1,1,0,preferred
3033,10151,22589,13595,1,1,0,preferred
3034,10151,22589,15086,0,0,0,preferred
3035,10151,22589,25121,3,3,0,preferred
3036,10151,22589,26031,1,1,0,preferred
3037,10151,22589,30128,3,2,1,preferred
3038,10151,22589,8199,0,0,0,preferred
3039,13631,25321,38269,2,2,0,preferred
3040,12171,24069,25742,0,0,0,blocked
3040,13938,24069,25742,0,0,0,blocked
3042,13911,25534,40246,2,2,0,preferred
3054,13845,24863,13650,0,0,0,preferred
3055,13845,24863,13933,0,0,0,preferred
3056,13845,24863,21029,0,0,0,preferred
3057,13845,24863,22270,0,0,0,preferred
3058,13845,24863,35681,0,0,0,preferred
3059,13845,24863,36023,1,1,0,preferred
3060,13845,24863,37058,0,0,0,preferred
3061,13845,24863,37105,0,0,0,preferred
3062,13845,24863,37452,0,0,0,preferred
3063,13845,24863,39089,0,0,0,preferred
3064,13845,24863,40823,0,0,0,preferred
3065,13845,24863,42097,0,0,0,preferred
3066,13845,24863,42188,0,0,0,preferred
3067,13986,24863,4068,0,0,0,preferred
3068,13986,24863,22270,0,0,0,preferred
3069,13986,24863,38259,0,0,0,preferred
3070,13986,24863,41236,0,0,0,preferred
3073,13313,25051,15461,2,2,0,preferred
3076,12171,24069,42092,0,0,0,blocked
3076,13938,24069,42092,0,0,0,blocked
3076,14011,24069,42092,0,0,0,blocked
3076,14012,24069,42092,0,0,0,blocked
3076,14013,24069,42092,0,0,0,blocked
3076,14014,24069,42092,0,0,0,blocked
3076,14015,24069,42092,0,0,0,blocked
3076,14016,24069,42092,0,0,0,blocked
3077,13922,25543,43354,6,3,2,preferred
3080,13963,25221,37532,1,1,0,preferred
3081,13962,25221,37532,0,0,0,preferred
3081,13964,25221,37532,0,0,0,preferred
3081,13965,25221,37532,0,0,0,preferred
3085,13955,25570,6219,1,1,0,preferred
3086,13955,25570,39427,2,1,1,blocked
3087,14057,25646,35748,8,8,0,preferred
3089,13955,25570,3213,1,0,1,blocked
3093,13962,25221,6637,0,0,0,preferred
3093,13963,25221,6637,0,0,0,preferred
3093,13964,25221,6637,3,2,1,preferred
3093,13965,25221,6637,0,0,0,preferred
3094,13963,25221,39948,2,2,0,preferred
3095,13962,25221,39948,0,0,0,preferred
3095,13964,25221,39948,0,0,0,preferred
3095,13965,25221,39948,0,0,0,preferred
3096,14057,25646,35645,2,2,0,preferred
