id,account_id,active_topics,bps_plan,decline_rate,purchased_posts,declined_posts,last_purchase_at,other_info,plan_words,plan_name,primary_industry,queued_posts,submitted_posts,preferred_writers,state,recently_started_on,recently_canceled_on,current_lifetime_days
85,85,0,Content,0.14285714285714285,36,6,2018-01-25T00:00:00.000-07:00,** Never use Trulia or Zillow as a source **,1000,Basic - 1000 words,Real Estate (Residential),0,35,1,expired,2017-11-16T00:00:00.000-07:00,2018-01-25T00:00:00.000-07:00,75
355,355,23,Content,0.15869565217391304,387,73,2018-06-30T00:00:00.000-06:00,"I envision this site being a source of news and entertainment stories for those participating in air sports. Competition stories, world records, national events, and any story related to air sports on a USA national level is welcome. Please see keywords for particular air sports.

I will always accept stories about competitions and world records. Keep in mind these stories should be after the competition or record is complete.

FYI, so I don't waste your time, I do reject stories for being in one of the 'Quick and Dirty Rejects' below.

The Quick and Dirty Rejects:
1) No local flying club articles. Subject matter should be pointed to national level or international level. 

2) No grandma goes hang gliding, skydiving, etc. 

3) No articles where pilot dies or injured.

4) No articles where local reporter goes hang gliding, skydiving, etc.

5) No articles about 'what is hang gliding?', 'what is paramotoring?', etc. 

6) Due to my limited number of articles purchased, I can only accept competition write-ups after the competition is complete. No preview stories of upcoming competitions please. 

7) No biographicals unless included as part of a story about one of the pilots in a competition. There should be more emphasis on the competition than the pilots bio. 

8) No combined competition articles. If there are 3 competition active, I prefer an article for each competition rather one article for all three. 

Page Facebook: http://www.facebook.com/AirSportsNet",300,Basic - 300 words,Engineering,1,463,7,expired,2017-07-31T00:00:00.000-06:00,2018-06-05T00:00:00.000-06:00,320
503,503,4,+Optimize,0.2727272727272727,8,3,2018-03-13T00:00:00.000-06:00,"We need blog posts that are news, are related to news, or related to something than brings attention to the blog.",600,Basic - 600 words,,1,12,1,expired,2017-11-28T00:00:00.000-07:00,2018-02-21T00:00:00.000-07:00,92
599,599,1,+Optimize,,0,0,,"Steve is the founder of BuySafe, an e-commerce bonding site, as well as his current endeavor, uknow.com. Steve has raised over 30 million dollars ",600,Basic - 600 words,,3,6,0,expired,2018-02-06T00:00:00.000-07:00,2018-05-21T00:00:00.000-06:00,104
855,855,5,+Optimize,0.10810810810810811,66,8,2018-06-24T00:00:00.000-06:00,"Please review our current blog (http://www.eholster.com/blog.asp) and use a guidance on tone. Please do not duplicate existing blog topics. 

We prefer to write about ways our products can improve the reader's lives. For example, our front pocket wallet my help with back pain by getting a customer's wallet into their front pocket and out of their back pocket.",600,Basic - 600 words,,6,81,2,active,2017-08-27T00:00:00.000-06:00,,313
873,873,12,Content,0.06593406593406594,85,6,2018-04-16T00:00:00.000-06:00,"Semi-casual tone targeting software development management. I would like to stay very technology focused but they do not all have to be super technical either.  I want to do reviews of my use of some technology, like Clojure. I also want stuff on running a tech business where meritocracy wins and location / hours do not matter, improving efficiency, and business process automation",600,Basic - 600 words,Software,1,94,7,expired,2017-11-30T00:00:00.000-07:00,2018-04-16T00:00:00.000-06:00,151
964,2488,46,+Photo,0.16568047337278108,141,28,2018-06-22T00:00:00.000-06:00,"""Our law office is located near the Southwest Justice Center in Murrieta, California. We represent individuals charged with Criminal Offenses including DUI and Juvenile Matters from the Temecula, Murrieta, Menifee, Wildomar, Lake Elsinore, Hemet, Corona, Perris, Banning and Riverside areas.""

I handle every case from the beginning to its conclusion (i.e. the case is not handed to a less experienced attorney)

When the client calls with a question, the answer comes directly from me and not office staff or paralegal.",300,Basic - 300 words,Legal,4,177,0,active,2018-02-21T00:00:00.000-07:00,,135
1202,3313,14,Content,0.08303249097472924,254,23,2018-02-22T00:00:00.000-07:00,"Beholder is a Marketing Agency. We Connect Brands with Consumers using Integrated Solutions that Get Results. Beholder's mission is to be your relationship-based, solution-driven strategic brand partner.  Beholder performs as your outsourced marketing department serving all of your strategic and creative marketing needs. Grow Your Business with Beholder! Contact us at 844-234-6537 or BeholderAgency.com 
---

VERY IMPORTANT: Please use the EXACT keywords/ phrases in the title and at least 3 times in each post.  This will help us from having to further edit your post.

 Thanks!",300,Basic - 300 words,Marketing & Advertising,11,306,32,expired,2017-08-06T00:00:00.000-06:00,2018-02-22T00:00:00.000-07:00,212
1255,3448,0,Content,0.44,14,11,2018-02-04T00:00:00.000-07:00,Please write as if you are sharing this information with your 23 year old sister. ,600,Basic - 600 words,Fitness,0,26,1,expired,2017-12-09T00:00:00.000-07:00,2018-02-04T00:00:00.000-07:00,59
1336,3719,1,Content,0.20689655172413793,69,18,2018-07-03T00:00:00.000-06:00,"We are aiming at talent and recruiting system managers, workforce/people analytics practitioners and recruiting leaders, particularly at corporates (it not so much at recruiting agencies)",600,Basic - 600 words,Human Resources & Talent Acquisition,0,88,14,active,2017-12-06T00:00:00.000-07:00,,212
1803,5118,0,+Optimize,0.13186813186813187,316,48,2018-07-05T00:00:00.000-06:00,"When you reference a link to our web pages, please do not use the www.pack-n-send.com. Please put in the link to the specific topic that  you have written about. For example, if you are writing about freight shipping , please put in the link directly to the freight shipping page on our website.
You can pull information from our website to see our type of business  www.pack-n-send.com
We deal in business to business and also with households. We only want ""Educational"" blog posts! No sales or promotional blog posts, please. Please do not put anything negative in a blog, like items breaking or being lost in transit. We would like upbeat informational blogs that are longer than 300 words.",300,Basic - 300 words,Other,1,372,9,active,2018-01-19T00:00:00.000-07:00,,168
1874,5326,33,Content,0.07042253521126761,132,10,2018-07-03T00:00:00.000-06:00,,300,Annual Basic - 300 words,Healthcare/Medical,8,163,3,active,2018-03-15T00:00:00.000-06:00,,113
2634,4826,3,Content,0.06470588235294118,159,11,2018-06-17T00:00:00.000-06:00,,300,Basic - 300 words,,2,179,2,expired,2018-04-17T00:00:00.000-06:00,2018-05-22T00:00:00.000-06:00,61
2647,6845,84,Content,0.02891566265060241,403,12,2018-07-05T00:00:00.000-06:00,"**blog topics about Mohs surgery and skin cancer are the priority

I would like a pretty casual tone

arrange blogs in ""top 3"", ""top 5"" ""top 10"" etc. lists as much as possible
",300,Basic - 300 words,Health & Beauty,78,497,0,active,2017-07-30T00:00:00.000-06:00,,341
2841,7156,0,Content,0.19047619047619047,17,4,2018-06-12T00:00:00.000-06:00,"Massey Consulting is an accounting software reseller with two major brands - Intacct and Microsoft Dynamics GP.  We are a group of CPA's and other accounting professionals that provide sales and support for our solutions.  Our company is small, which allows us to provide personalized service to our clients across the US and Australia.",600,Basic - 600 words,Software,0,21,2,expired,2017-12-04T00:00:00.000-07:00,2018-05-15T00:00:00.000-06:00,165
3227,7551,2,Content,0.4395229982964225,658,516,2018-07-04T00:00:00.000-06:00,"I like my post to be smart, funny and witty yet at the same time convey the message. I am not opposed to bullet points to illustrate multiple points. I am publishing a book on entrepreneurship called one million frogs this spring and I want to build up my content on my blog and social media platforms. Bottom line is that I am looking for the book and my blog post to help raise my professional profile as a business leader therefore good writing is important in my post. ",1000,Basic - 1000 words,Business Consulting,4,1189,18,active,2018-06-29T00:00:00.000-06:00,,7
3485,4826,6,Content,0.08494208494208494,237,22,2018-04-05T00:00:00.000-06:00,Please add as many internal links as possible to previous blog posts and internal pages. Thanks!,300,Basic - 300 words,,3,286,2,expired,2018-01-01T00:00:00.000-07:00,2018-04-05T00:00:00.000-06:00,120
3594,4826,0,Content,0.11940298507462686,59,8,2018-02-10T00:00:00.000-07:00,"We are doing blog posts in the style of ""Ask Rick"", where customers ask questions about A/C and then have them answered.",300,Basic - 300 words,,1,76,2,expired,2018-01-11T00:00:00.000-07:00,2018-02-10T00:00:00.000-07:00,31
4082,3313,11,Content,0.05416666666666667,227,13,2018-05-25T00:00:00.000-06:00,"DeckMAX blog will feature the following:
1) Educate Consumer with Product Information (DIY) - Clean PVC, Composite, Wood, Metal, and Outdoor Furniture. - CLEANS ALL OUTDOOR PRODUCTS.
2) Feature DeckMAX Services (Hire DeckMAX to clean the deck)
3) Deck Decorating, Gardens & Outdoor Lighting Options
4) Outdoor entertaining, food & drink ideas.  
5) Focus on consumer frustrations and how DeckMAX products can ease these concerns with a quality product line.

Use pictures & ideas from Pinterest (http://www.pinterest.com/deckmaxusa/), offer recipes, BBQ ideas, outdoor party ideas, kid /family games, etc.  FUN stuff!

Twitter/ Social Media Goal:  To connect with DIY experts and customers with great ideas, leading them to select a DeckMAX product for use (in a makeover, or before re-decorating)",300,Basic - 300 words,Home Repair & Home Maintenance,5,249,32,expired,2018-02-27T00:00:00.000-07:00,2018-05-25T00:00:00.000-06:00,89
4459,8955,5,Content,0.1694915254237288,196,40,2018-07-05T00:00:00.000-06:00,"All blogs should be a minimum of 400 words and no more than 550 words

Borrower Persona Information

========================

Identifying the Borrower Persona (#1)

1. What is the typical career title of your borrower? Real Estate Investor

2. What skills does your ideal borrower have? Experienced with property rehabbing and management.

3. How many years has your borrower been involved in their trade? Are they considered a professional? 

If they have acquired, rehabbed, and managed at least 5 to 10 properties over the past several years they are 

considered to be experienced.

1. Is your ideal borrower married? Does he/she have kids? Are they wealthy? What are their goals?

 The ideal borrower would be married with kids, over 40, with a net worth of over $1,000,000.

2. What are some of the hobbies your ideal borrower partake in? What do they enjoy? What do they care 

about? They are conservative, enjoy financial stability, and are aggressive with making things happen.

3. What type of personality do they possess? Confident? Smart? Eccentric? They are typically smart, 

technically savvy, risk takers, which are not afraid to take charge.

1. Does your ideal borrower use or need your product or service? Some prefer and are able to pay all 

cash, others either need to borrow money or prefer to leverage borrowed money.

2. How will your ideal borrower benefit from your product or service? They will benefit by borrowing at a 

rate of 10% to 12% and obtaining a return on their investment of 18% to 30%+.

3. Will your ideal borrower be able to differentiate you from your competitors? Yes. Rate, price, and 

4. What questions would you ask your ideal borrower if he/she were here right now? What experience do 

you have at flipping real estate? How are you going to make the payments and what is your exit strategy?

5. Which features from your business will appeal to your ideal borrower the most? Will it help them 

resolve an issue or problem? Yes. We provide them with loans they cannot get at banks and we process the 

loan request much faster.",300,Basic - 300 words,Real Estate (Residential),1,238,9,active,2018-05-31T00:00:00.000-06:00,,36
4488,9009,6,Content,0.3495575221238938,147,79,2018-06-19T00:00:00.000-06:00,"9-8-2017
NOW A NATONAL FORMAT

We publish a monthly newsletter for real estate agents to send to their clients. Almost all of our readers are homeowners. Our general content is seasonal so it is always changing. We prefer the content to be a quick read, conversational, light and friendly in tone and interesting. Clever and fun is good.

The newsletter publisher believes that his readers will only spend  a maximum of 2 minutes on the inside spread. This means the articles need to be skimmable with interesting headlines, subheads to break up the copy, bullets and very short chunks of copy.

This is a printed newsletter. Please do not rely on links unless asked to do so. All articles should stand on their own with NO REFERENCE to the real estate agents. 

Page size is 8.5 x 11 so please write copy length accordingly. 
Full page = 400 words

Write with subheads and possibly bullets to make the articles skimable. 

ALL ARTICLES MUST INCLUDE A SUMMARY SENTENCE FOR THE TABLE OF CONTENTS. This sentence in addition to the word count.

The goal of the articles is to provide as much factual information as possible to the reader about the topic. If the article is about a DIY project, include where the pieces and parts can be purchased. If the article is about party planning, we need to say specifically where to get the items mentioned. As in all journalism, please keep in mind WHO, WHAT, WHERE, WHEN and HOW.

This is a national publication so don't be specific to any city state or region.

PLEASE DO NOT LINK BACK TO OUR WEBSITE. Our readers cannot link from a printed newsletter and it is annoying to deal with in layout.

Here is a link to nine past issues so you can see the type of copy we prefer:
https://flic.kr/p/nkQQdd

Please keep in mind that these articles were written when this publication was local.
",300,Basic - 300 words,Real Estate (Residential),6,232,2,active,2017-08-23T00:00:00.000-06:00,,317
4711,4826,5,Content,0.14102564102564102,67,11,2018-04-05T00:00:00.000-06:00,,300,Basic - 300 words,,2,82,2,expired,2018-01-11T00:00:00.000-07:00,2018-04-05T00:00:00.000-06:00,90
4943,9737,0,Content,0.21875,50,14,2018-04-05T00:00:00.000-06:00,"Please include things about interviewing health care professionals, biometrics, wearables (like google glasses that can be used for eye tracking), research gaming or gamification, or facial coding or consumer insights, I think these categories might be helpful.

Avoid grammar contractions and use their full text, ie. instead of don't and isn't please use do not and is not.  When saying 'contact us', please use the business name instead of 'us'.  Capitalize all words in titles except a, an, the, at, by, for, in, of, on, to, up, and, as, but, it, or, and nor.",1200,Basic - 1200 words,,0,64,0,expired,2018-01-04T00:00:00.000-07:00,2018-03-06T00:00:00.000-07:00,90
4953,9786,1,Content,0.4794520547945205,38,35,2018-04-02T00:00:00.000-06:00,"GM Insurance Services is an insurance agency specializing in auto insurance for the State California only and we want your blog posts to attract online customers shopping for auto insurance quotes in the State of California. We are NOT a direct insurance company, we are an insurance agency working with multiple insurance companies. This gives us the ability to offer several options to our customers. We compare rates with multiple insurance companies to find the best auto insurance coverage at an affordable rate including drivers with good or bad driving records. We are an insurance agency that can help customers find auto insurance polices for any car any driver at a lower price, including drivers in need of SR-22 due to DUI or any major moving violation or accident. We provide instant SR-22. 

Auto Insurance Quotes can be requested directly from our website that takes 5 minutes or less or by calling our office at 877-333-8303.

Auto Insurance Quote Link http://www.gminsuranceservices.com/free-quotes/auto-insurance

If any information is going to be used for referencing we kindly ask you to only use reliable news sources such as LA or New York Times, Insurance Journal, Department of Insurance or Department of Motor Vehicles. 

Thank you in advance!",1500,Basic - 1500 words,,7,80,2,active,2017-11-30T00:00:00.000-07:00,,218
5356,11477,6,BlogMutt Complete,0.4166666666666667,7,5,2017-12-14T00:00:00.000-07:00,"I would like for posts to be informative and useful to business owners and revenue executives looking to increase sales.  Tips, trips, guides, research, etc are all useful. 

Posts should focus on B2B, provide value to small-medium sized business owners, and show the benefit of incorporating Facebook and inbound marketing into their advertising efforts. 

Writers with inbound marketing experience are especially encouraged to write for us. We love internal and external links (especially when mentioning stats), and posts that are engaging and broken up with subheadings. ",600,Content - 600+ words,,6,21,4,expired,2017-11-17T00:00:00.000-07:00,2017-12-16T00:00:00.000-07:00,30
5434,11878,31,Content,0.44,56,44,2017-09-07T00:00:00.000-06:00,"The blog posts we are seeking to have developed are for a employment and jobs blog that is posted by the president of our company. We are a environmental, engineering and construction executive search and staffing firm. This blog is targeted to individual job seekers, employers  and individuals looking to learn more about our company and the president of our firm.

There are currently a number of articles on the blog for you to reference as to topics, tone, content, etc. 

The current articles on the blog should give you a good feel for the type of blog posts are are seeking. The blog is under www.michaeldesafey.com 

All the posts should be directed to professionals that work in the construction, engineering and/or environmental industries.

Please let us know should you have any questions on post topics.

We would like the articles to be 700-800 or so words and be substantive. We cannot use generic posts; they need to be unique, original and have substance. All articles must be related to construction, engineering and environmental professionals.  

Please only submit high quality articles. Exceptional writers preferred. 

Writers providing acceptable content will be used for other projects by us weekly.",600,Content - 600+ words,Construction,1,111,1,expired,2017-08-24T00:00:00.000-06:00,2017-09-15T00:00:00.000-06:00,31
5444,11942,0,+Photo,0.14516129032258066,53,9,2018-06-23T00:00:00.000-06:00,,600,Basic - 600 words,,0,63,3,canceled,2018-03-15T00:00:00.000-06:00,2018-06-15T00:00:00.000-06:00,113
5736,13304,0,Content,0.05154639175257732,276,15,2018-05-10T00:00:00.000-06:00,"We are a medical center in Dubai, United Arab Emirates. We have two main focuses in our clinic: Pain Management - which focuses on treating patients with chronic pain - and Plastic Surgery. Besides this, we offer Physiotherapy, Psychology, Medical Spa treatments and our latest addition is the InfrafitX (a fat loss exercise machine).
Our philosophy is that we are truly dedicated to our patients, with a very personal approach. This is what makes us different. For now we only wrote some content about what happened in the clinic, but we want to get more relevant content to make our website more attractive to people actually reading, as well as to generate more traffic this way.
We are in an Arabic country, but our blog will be completely in English.",300,Basic - 300 words,Health & Beauty,0,297,2,active,2018-04-13T00:00:00.000-06:00,,84
5837,13775,16,+Photo,0.0,40,0,2017-09-07T00:00:00.000-06:00,"We are a custom deck, porch and patio builder focusing on mid to high end projects ranging from $40K-100K. ",600,Content - 600+ words,Construction,2,52,0,expired,2017-07-27T00:00:00.000-06:00,2017-09-25T00:00:00.000-06:00,62
5911,14130,3,Content,0.36363636363636365,28,16,2018-04-02T00:00:00.000-06:00,"our main competition is enernoc.com

Canadian english please.",300,Basic - 300 words,,1,45,8,expired,2017-11-16T00:00:00.000-07:00,2018-04-15T00:00:00.000-06:00,151
6031,13640,5,+Optimize,0.10344827586206896,26,3,2017-11-01T00:00:00.000-06:00,"We are an exterior remodeling company in St Louis, primarily offering siding and windows installation. We specialize in James Hardie siding, (which is a brand of fiber cement siding) and Infinity from Marvin replacement windows (which is a brand of fiberglass window).
Our audience is middle-class homeowners looking to improve the look of their home's exterior, add value and reduce the maintenance of it.",600,Content - 600+ words,Home Repair & Home Maintenance,0,30,2,expired,2017-09-13T00:00:00.000-06:00,2017-11-01T00:00:00.000-06:00,61
