id,approved_at,first_post_submitted_at,submitted_posts,sold_posts,declined_posts,edits_made,last_post_submitted_at,level
44,2011-10-26T00:00:00.000-06:00,2012-06-17T00:00:00.000-06:00,202,208,17,15,2018-05-23T00:00:00.000-06:00,7
83,2012-09-25T00:00:00.000-06:00,2016-10-25T00:00:00.000-06:00,228,152,42,12,2018-07-03T00:00:00.000-06:00,6
138,2012-03-28T00:00:00.000-06:00,2014-09-25T00:00:00.000-06:00,17,15,3,0,2017-11-20T00:00:00.000-07:00,3
175,2012-02-11T00:00:00.000-07:00,2013-11-04T00:00:00.000-07:00,7,25,0,3,2018-04-12T00:00:00.000-06:00,3
195,2012-03-04T00:00:00.000-07:00,2012-05-03T00:00:00.000-06:00,2644,2514,224,132,2018-04-27T00:00:00.000-06:00,12
206,2012-09-25T00:00:00.000-06:00,2017-05-21T00:00:00.000-06:00,43,34,5,0,2017-11-19T00:00:00.000-07:00,4
229,2012-04-03T00:00:00.000-06:00,2012-10-23T00:00:00.000-06:00,25,24,4,6,2017-12-17T00:00:00.000-07:00,3
237,2012-10-17T00:00:00.000-06:00,2012-10-24T00:00:00.000-06:00,12,9,3,1,2017-12-01T00:00:00.000-07:00,2
265,2012-04-03T00:00:00.000-06:00,2012-05-05T00:00:00.000-06:00,2448,2198,141,127,2018-07-05T00:00:00.000-06:00,12
268,2012-04-02T00:00:00.000-06:00,2012-06-03T00:00:00.000-06:00,370,299,50,18,2018-06-24T00:00:00.000-06:00,7
275,2012-04-07T00:00:00.000-06:00,2017-06-23T00:00:00.000-06:00,4,3,1,0,2017-11-14T00:00:00.000-07:00,2
328,2012-04-19T00:00:00.000-06:00,2012-06-05T00:00:00.000-06:00,1090,1002,70,138,2018-07-05T00:00:00.000-06:00,10
331,2012-09-25T00:00:00.000-06:00,2014-07-11T00:00:00.000-06:00,66,39,12,2,2017-09-29T00:00:00.000-06:00,4
334,2012-07-30T00:00:00.000-06:00,2012-07-30T00:00:00.000-06:00,325,259,42,20,2017-12-13T00:00:00.000-07:00,7
448,2012-09-25T00:00:00.000-06:00,2015-07-14T00:00:00.000-06:00,8,5,3,1,2017-10-25T00:00:00.000-06:00,2
464,2012-05-03T00:00:00.000-06:00,2014-06-19T00:00:00.000-06:00,700,508,113,24,2018-05-22T00:00:00.000-06:00,9
503,2012-05-05T00:00:00.000-06:00,2012-05-09T00:00:00.000-06:00,119,112,20,7,2018-06-06T00:00:00.000-06:00,5
546,2013-02-18T00:00:00.000-07:00,2013-02-18T00:00:00.000-07:00,24,18,5,2,2018-01-06T00:00:00.000-07:00,3
628,2012-05-15T00:00:00.000-06:00,2012-05-22T00:00:00.000-06:00,1086,946,124,87,2018-04-08T00:00:00.000-06:00,9
804,2012-05-24T00:00:00.000-06:00,2012-06-04T00:00:00.000-06:00,72,57,14,9,2018-02-28T00:00:00.000-07:00,5
891,2012-07-04T00:00:00.000-06:00,2012-07-04T00:00:00.000-06:00,164,128,26,23,2018-02-09T00:00:00.000-07:00,6
912,2012-09-25T00:00:00.000-06:00,2017-11-06T00:00:00.000-07:00,20,15,1,0,2018-06-25T00:00:00.000-06:00,3
946,2012-06-26T00:00:00.000-06:00,2012-06-26T00:00:00.000-06:00,875,753,61,21,2017-12-12T00:00:00.000-07:00,8
980,2012-08-03T00:00:00.000-06:00,2012-08-03T00:00:00.000-06:00,15,9,4,1,2017-07-27T00:00:00.000-06:00,2
1022,2013-02-05T00:00:00.000-07:00,2013-02-05T00:00:00.000-07:00,395,354,28,44,2018-06-29T00:00:00.000-06:00,7
1072,2012-09-01T00:00:00.000-06:00,2012-09-01T00:00:00.000-06:00,1124,998,83,107,2018-06-12T00:00:00.000-06:00,10
1082,2013-02-07T00:00:00.000-07:00,2013-02-09T00:00:00.000-07:00,23,13,5,0,2018-04-30T00:00:00.000-06:00,3
1269,2012-08-21T00:00:00.000-06:00,2012-08-21T00:00:00.000-06:00,707,591,80,45,2018-07-05T00:00:00.000-06:00,9
1307,2014-05-08T00:00:00.000-06:00,2014-05-08T00:00:00.000-06:00,321,279,24,16,2018-01-27T00:00:00.000-07:00,7
1329,2012-08-25T00:00:00.000-06:00,2012-08-24T00:00:00.000-06:00,184,160,15,20,2018-05-14T00:00:00.000-06:00,6
1342,2012-09-07T00:00:00.000-06:00,2012-09-07T00:00:00.000-06:00,198,171,20,21,2018-01-18T00:00:00.000-07:00,6
1422,2012-10-08T00:00:00.000-06:00,2012-10-08T00:00:00.000-06:00,32,26,3,5,2018-07-05T00:00:00.000-06:00,3
1433,2013-03-10T00:00:00.000-07:00,2013-03-10T00:00:00.000-07:00,47,39,3,0,2018-06-29T00:00:00.000-06:00,4
1506,2012-10-24T00:00:00.000-06:00,2012-10-24T00:00:00.000-06:00,326,289,21,55,2018-06-14T00:00:00.000-06:00,7
1563,2012-10-26T00:00:00.000-06:00,2012-10-26T00:00:00.000-06:00,61,49,6,6,2018-05-10T00:00:00.000-06:00,4
1611,2012-10-30T00:00:00.000-06:00,2012-10-29T00:00:00.000-06:00,1610,1453,103,51,2018-06-28T00:00:00.000-06:00,10
1630,2013-03-25T00:00:00.000-06:00,2017-04-23T00:00:00.000-06:00,7,4,1,0,2017-07-25T00:00:00.000-06:00,2
1648,2012-11-29T00:00:00.000-07:00,2012-12-10T00:00:00.000-07:00,271,191,47,24,2018-07-03T00:00:00.000-06:00,7
1655,2012-11-14T00:00:00.000-07:00,2012-11-13T00:00:00.000-07:00,326,291,22,15,2018-06-05T00:00:00.000-06:00,7
1657,2012-11-14T00:00:00.000-07:00,2012-11-14T00:00:00.000-07:00,1730,1585,98,59,2018-05-19T00:00:00.000-06:00,11
1681,2012-11-16T00:00:00.000-07:00,2012-11-15T00:00:00.000-07:00,1685,1520,84,52,2017-11-09T00:00:00.000-07:00,10
1739,2012-12-13T00:00:00.000-07:00,2012-12-12T00:00:00.000-07:00,3153,2618,266,151,2018-07-04T00:00:00.000-06:00,14
1746,2012-12-15T00:00:00.000-07:00,2012-12-14T00:00:00.000-07:00,1331,1074,73,35,2018-06-15T00:00:00.000-06:00,9
1789,2012-12-22T00:00:00.000-07:00,2012-12-22T00:00:00.000-07:00,145,115,23,22,2017-11-14T00:00:00.000-07:00,5
1840,2013-03-16T00:00:00.000-06:00,2013-03-20T00:00:00.000-06:00,110,97,10,8,2018-03-20T00:00:00.000-06:00,5
1886,2013-03-04T00:00:00.000-07:00,2013-03-04T00:00:00.000-07:00,65,62,2,3,2018-02-10T00:00:00.000-07:00,4
1936,2013-01-29T00:00:00.000-07:00,2013-01-28T00:00:00.000-07:00,2186,2101,52,37,2018-04-27T00:00:00.000-06:00,11
2005,2013-02-07T00:00:00.000-07:00,2013-02-07T00:00:00.000-07:00,930,832,56,72,2017-12-27T00:00:00.000-07:00,8
2081,2013-05-14T00:00:00.000-06:00,2013-05-13T00:00:00.000-06:00,84,67,14,10,2017-08-21T00:00:00.000-06:00,5
